onset	duration	object
12	1.9	table
18	1.9	bench
21	1.9	bed
27	1.9	chair
30	1.9	table
34.5	1.9	bench
39	1.9	bed
45	1.9	chair
48	1.9	table
52.5	1.9	bench
57	1.9	bed
61.5	1.9	chair
64.5	1.9	bed
69	1.9	bench
73.5	1.9	chair
76.5	1.9	table
81	1.9	table
84	1.9	bench
87	1.9	bed
90	1.9	chair
96	1.9	chair
99	1.9	table
102	1.9	bed
106.5	1.9	bench
111	1.9	table
115.5	1.9	bench
120	1.9	bed
126	1.9	chair
129	1.9	table
132	1.9	bed
135	1.9	chair
139.5	1.9	bench
145.5	1.9	bed
151.5	1.9	table
156	1.9	chair
159	1.9	bench
162	1.9	chair
166.5	1.9	bed
171	1.9	bench
177	1.9	table
180	1.9	table
186	1.9	chair
189	1.9	bed
195	1.9	bench
198	1.9	table
202.5	1.9	bench
207	1.9	chair
213	1.9	bed
216	1.9	chair
220.5	1.9	bed
225	1.9	bench
229.5	1.9	table
232.5	1.9	bench
237	1.9	table
241.5	1.9	chair
244.5	1.9	bed
249	1.9	table
252	1.9	bench
255	1.9	chair
258	1.9	bed
264	1.9	chair
267	1.9	bed
270	1.9	bench
274.5	1.9	table
279	1.9	table
283.5	1.9	bed
288	1.9	bench
294	1.9	chair
297	1.9	bed
300	1.9	table
303	1.9	bench
307.5	1.9	chair
313.5	1.9	table
319.5	1.9	bench
324	1.9	chair
327	1.9	bed
330	1.9	bed
334.5	1.9	chair
339	1.9	bench
345	1.9	table
