onset	duration	object
12	1.9	bed
18	1.9	chair
21	1.9	bench
27	1.9	table
30	1.9	bed
34.5	1.9	table
39	1.9	chair
45	1.9	bench
48	1.9	chair
52.5	1.9	bench
57	1.9	table
61.5	1.9	bed
64.5	1.9	chair
69	1.9	table
73.5	1.9	bed
76.5	1.9	bench
81	1.9	bed
84	1.9	chair
87	1.9	table
90	1.9	bench
96	1.9	bench
99	1.9	chair
102	1.9	table
106.5	1.9	bed
111	1.9	chair
115.5	1.9	bench
120	1.9	table
126	1.9	bed
129	1.9	table
132	1.9	bed
135	1.9	chair
139.5	1.9	bench
145.5	1.9	bed
151.5	1.9	bench
156	1.9	chair
159	1.9	table
162	1.9	table
166.5	1.9	bench
171	1.9	chair
177	1.9	bed
180	1.9	bench
186	1.9	bed
189	1.9	chair
195	1.9	table
198	1.9	bed
202.5	1.9	bench
207	1.9	chair
213	1.9	table
216	1.9	table
220.5	1.9	chair
225	1.9	bench
229.5	1.9	bed
232.5	1.9	bed
237	1.9	bench
241.5	1.9	table
244.5	1.9	chair
249	1.9	table
252	1.9	bench
255	1.9	bed
258	1.9	chair
264	1.9	bench
267	1.9	table
270	1.9	chair
274.5	1.9	bed
279	1.9	chair
283.5	1.9	table
288	1.9	bench
294	1.9	bed
297	1.9	table
300	1.9	chair
303	1.9	bed
307.5	1.9	bench
313.5	1.9	table
319.5	1.9	bed
324	1.9	chair
327	1.9	bench
330	1.9	table
334.5	1.9	bed
339	1.9	chair
345	1.9	bench
