onset	duration	object
12	1.9	table
18	1.9	bench
21	1.9	chair
27	1.9	bed
30	1.9	bed
34.5	1.9	chair
39	1.9	bench
45	1.9	table
48	1.9	chair
52.5	1.9	bench
57	1.9	table
61.5	1.9	bed
64.5	1.9	chair
69	1.9	bench
73.5	1.9	bed
76.5	1.9	table
81	1.9	table
84	1.9	bench
87	1.9	bed
90	1.9	chair
96	1.9	bed
99	1.9	chair
102	1.9	bench
106.5	1.9	table
111	1.9	bed
115.5	1.9	chair
120	1.9	table
126	1.9	bench
129	1.9	table
132	1.9	bench
135	1.9	bed
139.5	1.9	chair
145.5	1.9	bed
151.5	1.9	chair
156	1.9	bench
159	1.9	table
162	1.9	bench
166.5	1.9	bed
171	1.9	chair
177	1.9	table
180	1.9	table
186	1.9	bench
189	1.9	bed
195	1.9	chair
198	1.9	bench
202.5	1.9	chair
207	1.9	table
213	1.9	bed
216	1.9	bench
220.5	1.9	chair
225	1.9	bed
229.5	1.9	table
232.5	1.9	chair
237	1.9	bed
241.5	1.9	bench
244.5	1.9	table
249	1.9	bench
252	1.9	bed
255	1.9	table
258	1.9	chair
264	1.9	chair
267	1.9	bed
270	1.9	bench
274.5	1.9	table
279	1.9	table
283.5	1.9	chair
288	1.9	bench
294	1.9	bed
297	1.9	chair
300	1.9	bed
303	1.9	bench
307.5	1.9	table
313.5	1.9	chair
319.5	1.9	bed
324	1.9	bench
327	1.9	table
330	1.9	chair
334.5	1.9	bed
339	1.9	bench
345	1.9	table
