onset	duration	object
12	1.9	table
21	1.9	bench
24	1.9	chair
30	1.9	bed
33	1.9	bed
37.5	1.9	chair
42	1.9	bench
48	1.9	table
51	1.9	chair
55.5	1.9	bench
60	1.9	table
64.5	1.9	bed
67.5	1.9	chair
72	1.9	bench
76.5	1.9	bed
79.5	1.9	table
84	1.9	table
87	1.9	bench
90	1.9	bed
93	1.9	chair
99	1.9	bed
102	1.9	chair
105	1.9	bench
109.5	1.9	table
114	1.9	bed
118.5	1.9	chair
123	1.9	table
129	1.9	bench
132	1.9	table
135	1.9	bench
138	1.9	bed
142.5	1.9	chair
148.5	1.9	bed
154.5	1.9	chair
159	1.9	bench
162	1.9	table
165	1.9	bench
169.5	1.9	bed
174	1.9	chair
180	1.9	table
183	1.9	table
189	1.9	bench
192	1.9	bed
198	1.9	chair
201	1.9	bench
205.5	1.9	chair
210	1.9	table
216	1.9	bed
219	1.9	bench
223.5	1.9	chair
228	1.9	bed
232.5	1.9	table
235.5	1.9	chair
240	1.9	bed
244.5	1.9	bench
247.5	1.9	table
252	1.9	bench
255	1.9	bed
258	1.9	table
261	1.9	chair
267	1.9	chair
270	1.9	bed
273	1.9	bench
277.5	1.9	table
282	1.9	table
286.5	1.9	chair
291	1.9	bench
297	1.9	bed
300	1.9	chair
303	1.9	bed
306	1.9	bench
310.5	1.9	table
316.5	1.9	chair
322.5	1.9	bed
327	1.9	bench
330	1.9	table
333	1.9	chair
337.5	1.9	bed
342	1.9	bench
348	1.9	table
